"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"34",2016-10-22,"Saturday",420,519,105,120,NA,540,21,90,156,190,64,50,"Rain",0.04,0,76,7,"Fall","0","10",102.714285714286,115,162,170.4,180,153,190,195,0.0471364770668413,0.303659956353834,0.401893587787172,-0.16087572913598,-0.0776222793814696,-0.311058836729932,-0.505412818520544,-0.174175687498019,0.589114309888448,0.830832007083095,0.963915778842353,0.798605649317003,0.810753000406055,0.588428442529009,186
"35",2016-10-23,"Sunday",350,475,120,60,NA,410,-65,285,106,120,63,52,"Rain",0.07,0,80,6,"Fall","0","10",110.714285714286,155.666666666667,190,110,120,95,120,120,-0.0129270606002709,0.487593888580878,0.725788790213217,-0.409028169625083,-0.0776222793814696,-0.197941134339836,-0.323008140864103,0.593075478753205,1.02106905710991,-0.251757818602689,-0.105490418892963,-0.238526868415517,-0.394311997341258,-0.648374995887059,116
"36",2016-10-24,"Monday",290,533,240,150,NA,440,-93,345,87,95,62,49,"Rain",0.07,0,73,12,"Fall","0","10",114.285714285714,157.333333333333,120,79,80,65,95,95,-0.0729905982673832,0.211692990240312,0.158972185967638,1.07988647330953,-0.0776222793814696,-0.197941134339836,-0.241577481196049,0.624520198681534,-0.0588178109437439,-0.807391669534134,-0.818427884049841,-0.774974722415096,-0.824692353679584,-1.06064280869241,88
"37",2016-10-25,"Tuesday",345,602,255,150,NA,495,-107,315,84,90,63,49,"Rain",0.001,0,79,6,"Fall","0","10",118.571428571429,135,95,90,90,87.5,92.5,100,-0.0129270606002709,0.211692990240312,0.644814989606706,-0.409028169625083,-0.0776222793814696,-0.458111849837058,-0.143860689594385,0.203160951641927,-0.444491692391477,-0.610231270816525,-0.640193517760622,-0.372638831915412,-0.867730389313417,-0.978189246131344,91
"38",2016-10-26,"Wednesday",405,623,225,180,NA,585,-38,165,86,69,63,54,"Rain",0.67,0,86,9,"Fall","0","10",120,101.666666666667,90,77.5,68.5,68,78,105,-0.0129270606002709,0.671527820807922,1.21163159385228,0.335429151842226,-0.0776222793814696,2.0644129134621,-0.111288425727163,-0.42573344692465,-0.521626468681023,-0.834277178450172,-1.02339740528244,-0.721329937015138,-1.11735099598965,-0.895735683570272,70
"39",2016-10-27,"Thursday",516,625,105,120,NA,636,11,75,112,126,59,53,"Rain",0.16,0,84,8,"Fall","0","10",120.142857142857,84.6666666666667,69,95,100.5,77.75,117.75,126,-0.25318121126872,0.5795608546944,1.04968399263926,0.0872767113531228,-0.0776222793814696,0.141411972830454,-0.108031199340441,-0.746469590193604,-0.845592529097119,-0.520612907763066,-0.453047433156941,-0.546984384465275,-0.433046229411708,-0.549430720813773,113
"40",2016-10-28,"Friday",510,597,90,60,NA,570,-27,150,164,210,66,52,"Rain",0.01,0,74,11,"Fall","0","10",121.714285714286,95,126,161.5,174,143.5,192,210,0.167263552401066,0.487593888580878,0.23994598657415,0.831734032820432,-0.0776222793814696,-0.424176539120029,-0.0722017090864976,-0.551512326637965,0.033743920603712,0.671311320847938,0.856975159068822,0.628730495550469,0.845183428913121,0.835789130212223,188
"41",2016-10-29,"Saturday",360,519,165,135,NA,495,-24,165,156,195,61,50,"Rain",0.16,0,78,8,"Fall","0","10",128.571428571429,135,210,170.4,180,153,190,195,-0.133054135934495,0.303659956353834,0.563841189000195,0.0872767113531228,-0.0776222793814696,0.141411972830454,0.0841451574761661,0.203160951641927,1.32960816226809,0.830832007083095,0.963915778842353,0.798605649317003,0.810753000406055,0.588428442529009,183
"42",2016-10-30,"Sunday",300,475,180,120,NA,420,-55,285,106,95,56,46,"Rain",0.11,0,88,7,"Fall","0","10",129.285714285714,177,195,110,120,95,120,120,-0.433371824270057,-0.064207908100254,1.37357919506531,-0.16087572913598,-0.0776222793814696,-0.0471175311530402,0.100431289409776,0.995567893835814,1.09820383339946,-0.251757818602689,-0.105490418892963,-0.238526868415517,-0.394311997341258,-0.648374995887059,103
"43",2016-10-31,"Monday",325,533,210,120,NA,445,-88,330,87,60,56,52,"Rain",0.19,0,85,9,"Fall","0","10",125.714285714286,166.666666666667,95,79,80,65,95,95,-0.433371824270057,0.487593888580878,1.13065779324577,0.335429151842226,-0.0776222793814696,0.254529675220551,0.0190006297417227,0.800610630280175,-0.444491692391477,-0.807391669534134,-0.818427884049841,-0.774974722415096,-0.824692353679584,-1.06064280869241,68
