"","date","day","initial_inventory","par","prep_rec","prep_actual","waste","final_inventory","short_long","scale","use_expected","use_actual","temp_max","temp_min","conditions","rain","snow","humidity","wind","season","holiday","month","use7","use3","use1","avgUse","medUse","quart1Use","quart3Use","maxUse","temp_maxz","temp_minz","humidityz","windz","snowz","rainz","use7z","use3z","use1z","avgUsez","medUsez","quart1Usez","quart3Usez","maxUsez","use_predicted"
"34",2016-10-22,"Saturday",420,519,105,120,NA,540,21,90,156,190,64,50,"Rain",0.04,0,76,7,"Fall","0","10",102.714285714286,115,162,146.9375,166.5,128,188.5,238,0.0471364770668413,0.303659956353834,0.40126141865856,-0.16087572913598,-0.0776222793814696,-0.311058836729932,-0.399739550723523,-0.0949635615021452,0.620879956799194,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,187
"35",2016-10-23,"Sunday",350,475,120,60,NA,410,-65,285,106,120,63,52,"Rain",0.07,0,80,6,"Fall","0","10",110.714285714286,155.666666666667,190,99,98.5,80,120,200,-0.0129270606002709,0.487593888580878,0.724989529847361,-0.409028169625083,-0.0776222793814696,-0.197941134339836,-0.230309768868899,0.627140774543793,1.03520990197038,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,115
"36",2016-10-24,"Monday",290,533,240,150,NA,440,-93,345,87,95,62,49,"Rain",0.07,0,73,12,"Fall","0","10",114.285714285714,157.333333333333,120,74.0625,75.5,62.25,95,135,-0.0729905982673832,0.211692990240312,0.158465335266959,1.07988647330953,-0.0776222793814696,-0.197941134339836,-0.154671473398085,0.656735214545676,-0.000614960957582384,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,89
"37",2016-10-25,"Tuesday",345,602,255,150,NA,495,-107,315,84,90,63,49,"Rain",0.001,0,79,6,"Fall","0","10",118.571428571429,135,95,69.1875,79.5,59.5,91,120,-0.0129270606002709,0.211692990240312,0.64405750205016,-0.409028169625083,-0.0776222793814696,-0.458111849837058,-0.0639055188331079,0.260169718520447,-0.370552412003283,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,89
"38",2016-10-26,"Wednesday",405,623,225,180,NA,585,-38,165,86,69,63,54,"Rain",0.67,0,86,9,"Fall","0","10",120,101.666666666667,90,65.6875,72,22.5,105,128,-0.0129270606002709,0.671527820807922,1.21058169663056,0.335429151842226,-0.0776222793814696,2.0644129134621,-0.0336502006447821,-0.331719081517207,-0.444539902212423,-1.04322185745021,-0.968077685815306,-1.30550559037386,-0.770963799165894,-1.02065619077846,73
"39",2016-10-27,"Thursday",516,625,105,120,NA,636,11,75,112,126,59,53,"Rain",0.16,0,84,8,"Fall","0","10",120.142857142857,84.6666666666667,69,73.7333333333333,97,0,120.5,157,-0.25318121126872,0.5795608546944,1.04871764103616,0.0872767113531228,-0.0776222793814696,0.141411972830454,-0.0306246688259496,-0.633582369536411,-0.755287361090811,-0.887794832822835,-0.503027390049069,-1.71464949792306,-0.471242204929902,-0.527829724920156,109
"40",2016-10-28,"Friday",510,597,90,60,NA,570,-27,150,164,210,66,52,"Rain",0.01,0,74,11,"Fall","0","10",121.714285714286,95,126,126.9375,148.5,48,196.5,270,0.167263552401066,0.487593888580878,0.239397363064159,0.831734032820432,-0.0776222793814696,-0.424176539120029,0.0026561811812086,-0.450096841524738,0.0881700272933856,0.139987496264124,0.454976219229379,-0.841809161818104,0.998360450678831,1.3924940903208,193
"41",2016-10-29,"Saturday",360,519,165,135,NA,495,-24,165,156,195,61,50,"Rain",0.16,0,78,8,"Fall","0","10",128.571428571429,135,210,146.9375,166.5,128,188.5,238,-0.133054135934495,0.303659956353834,0.56312547425296,0.0872767113531228,-0.0776222793814696,0.141411972830454,0.147881708485172,0.260169718520447,1.33115986280694,0.526341570946355,0.789812432181069,0.612924731690149,0.843665434298965,0.848685576270266,181
"42",2016-10-30,"Sunday",300,475,180,120,NA,420,-55,285,106,95,56,46,"Rain",0.11,0,88,7,"Fall","0","10",129.285714285714,177,195,99,98.5,80,120,200,-0.433371824270057,-0.064207908100254,1.37244575222496,-0.16087572913598,-0.0776222793814696,-0.0471175311530402,0.163009367579335,1.00594960656789,1.10919739217952,-0.399700851807617,-0.475124372303095,-0.259915604414803,-0.480910643453644,0.202912965835253,101
"43",2016-10-31,"Monday",325,533,210,120,NA,445,-88,330,87,60,56,52,"Rain",0.19,0,85,9,"Fall","0","10",125.714285714286,166.666666666667,95,74.0625,75.5,62.25,95,135,-0.433371824270057,0.487593888580878,1.12964966883336,0.335429151842226,-0.0776222793814696,0.254529675220551,0.0873710721085206,0.822464078556219,-0.370552412003283,-0.881436088677023,-0.902970644408033,-0.582684687036946,-0.964332569640727,-0.901698078329901,67
"44",2016-11-01,"Tuesday",385,602,210,150,NA,535,-67,240,84,86,61,50,"Rain",0.001,0,72,10,"Fall","0","11",120.714285714286,116.666666666667,60,69.1875,79.5,59.5,91,120,-0.133054135934495,0.303659956353834,0.0775333074697584,0.583581592331329,-0.0776222793814696,-0.458111849837058,-0.0185225415506194,-0.0653691215002624,-0.888464843467263,-0.975609894380817,-0.828562597085435,-0.632691164626293,-1.04168007783066,-1.15660831929109,86
